Inference for Stan model: anon_model_6164d8efe974107dc2b96f1559771960.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
G[40]             2.91  9.4e-3   0.21   2.59   2.77   2.88    3.0   3.39  479.0   1.01
G[41]             2.28  6.9e-3   0.14   2.06   2.17   2.27   2.38   2.57  402.0   1.01
G[42]             2.28  8.3e-3   0.14   2.05   2.17   2.27   2.38   2.57  288.0   1.01
G[43]              3.0  5.8e-3   0.17   2.72   2.88   2.98   3.11   3.39  904.0    1.0
G[44]              2.6    0.49   0.73   1.73   2.23   2.34   2.99   3.96    2.0   4.18
G[45]             2.81  5.0e-3   0.15   2.55   2.71    2.8   2.89   3.14  865.0    1.0
G[46]             3.08  6.2e-3   0.17    2.7   2.98    3.1   3.21   3.38  773.0   1.01
G[47]             2.29  5.8e-3   0.13   2.06   2.19   2.28   2.38   2.57  529.0   1.01
G[48]             2.48  5.8e-3   0.13   2.21   2.39   2.48   2.56   2.71  480.0   1.01
G[49]             2.35  9.9e-3   0.17   2.06   2.24   2.35   2.45   2.68  290.0   1.01
G[50]             3.62    0.98   1.41   1.18   2.24   4.25   4.54    5.1    2.0    5.0
epsilon_std[1]   -0.21    0.02   0.14  -0.51  -0.31  -0.21  -0.12   0.07   40.0   1.13
epsilon_std[2]   -0.24    0.02   0.17   -0.6  -0.35  -0.23  -0.12   0.09   79.0   1.07
epsilon_std[3]   -0.71    0.02   0.17  -1.07  -0.82  -0.71   -0.6   -0.4   67.0   1.09
epsilon_std[4]    -0.5    0.02   0.16  -0.83   -0.6   -0.5  -0.39   -0.2   65.0   1.11
epsilon_std[5]    0.36    0.03   0.25  -0.12    0.2   0.37   0.53   0.86   61.0   1.11
epsilon_std[6]    0.95    0.03   0.28   0.39   0.76   0.95   1.14   1.48   74.0   1.09
epsilon_std[7]   -0.12    0.03    0.2  -0.53  -0.25  -0.11   0.02   0.27   61.0   1.13
epsilon_std[8]    5.28    0.04   0.58   4.13    4.9   5.28   5.66   6.44  264.0   1.02
epsilon_std[9]     0.1    0.02   0.16  -0.22-6.2e-3    0.1    0.2   0.43   51.0   1.14
epsilon_std[10]  -0.26    0.02   0.17  -0.61  -0.37  -0.24  -0.14   0.05   78.0   1.07
